Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
NeuralNet,0.9888745148771022,0.9907823209643111,0.9889124793583393,0.9898465171192444,116.69500398635864
RandomForest,0.9848641655886158,0.9815420560747663,0.99103562160887,0.9862659936612278,5.963027238845825
LogReg,0.9839586028460543,0.9812865497076023,0.9896201934418495,0.9854357528776133,0.2627241611480713
KNN,0.6846054333764554,0.9394826744753538,0.4541165369190847,0.6122773536895675,0.02145242691040039
